                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.70759,                 1.1244,                 1.1279,                 0.7306,                 0.8106,                0.80918,                0.68187,                0.62513,                0.90643,                  1.087,             0.00039825,             0.00039825,             0.00039825
                     36,                0.68557,                 1.0917,                 1.1221,                0.71667,                0.83547,                0.81855,                 0.6776,                0.62545,                0.88763,                 1.0656,             0.00039589,             0.00039589,             0.00039589
                     37,                0.67967,                  1.093,                 1.1203,                0.75615,                0.82036,                0.82789,                0.69863,                0.61665,                0.88837,                 1.0782,             0.00039353,             0.00039353,             0.00039353
                     38,                0.69139,                 1.0993,                 1.1312,                 0.7468,                0.84131,                0.83015,                0.69525,                0.61679,                0.88317,                 1.0716,             0.00039118,             0.00039118,             0.00039118
                     39,                0.67993,                 1.0868,                 1.1273,                0.72771,                0.82269,                0.80259,                0.65695,                0.67418,                0.96885,                 1.1026,             0.00038882,             0.00038882,             0.00038882
                     40,                0.68085,                 1.0697,                 1.1053,                0.75625,                0.84015,                 0.8143,                  0.695,                0.60874,                0.86004,                 1.0628,             0.00038646,             0.00038646,             0.00038646
                     41,                0.67654,                 1.0697,                  1.128,                0.75323,                0.78409,                0.80055,                 0.6738,                0.61094,                0.90625,                 1.0692,             0.00038411,             0.00038411,             0.00038411
                     42,                0.66791,                 1.0678,                  1.115,                0.77197,                0.77825,                0.81352,                0.67409,                0.64671,                0.89442,                 1.0929,             0.00038175,             0.00038175,             0.00038175
                     43,                0.65072,                 1.0304,                 1.1031,                0.77184,                0.84354,                0.82351,                0.69202,                0.62227,                0.87324,                 1.0765,              0.0003794,              0.0003794,              0.0003794
                     44,                0.67094,                 1.0475,                 1.1253,                0.80247,                0.80882,                 0.8415,                0.71031,                0.59355,                0.85017,                 1.0545,             0.00037704,             0.00037704,             0.00037704
                     45,                0.66708,                 1.0319,                 1.1006,                0.71134,                0.82435,                0.81728,                0.68434,                0.62054,                0.87468,                 1.0764,             0.00037468,             0.00037468,             0.00037468
                     46,                0.65204,                 1.0427,                 1.1108,                0.77622,                0.80211,                0.82866,                0.68856,                 0.6395,                0.82986,                 1.0693,             0.00037233,             0.00037233,             0.00037233
                     47,                0.64285,                 0.9787,                 1.0943,                 0.7431,                0.84038,                0.83331,                0.71305,                0.57632,                0.77548,                 1.0261,             0.00036997,             0.00036997,             0.00036997
                     48,                0.65367,                 1.0042,                 1.1161,                0.74833,                0.84988,                0.82937,                0.71178,                0.57372,                0.82982,                 1.0322,             0.00036761,             0.00036761,             0.00036761
                     49,                0.63957,                0.97672,                 1.0893,                0.77713,                0.80952,                0.81682,                0.68445,                0.62505,                 0.8431,                   1.07,             0.00036526,             0.00036526,             0.00036526
                     50,                0.64628,                0.98318,                  1.097,                0.73475,                0.84795,                0.82552,                0.69883,                0.61112,                0.84044,                 1.0502,              0.0003629,              0.0003629,              0.0003629
                     51,                 0.6511,                0.98134,                 1.1054,                0.76526,                0.83991,                0.83062,                0.70126,                0.61151,                0.84292,                 1.0716,             0.00036055,             0.00036055,             0.00036055
                     52,                0.64476,                0.93432,                 1.0961,                0.78607,                 0.8046,                0.83934,                0.72368,                  0.567,                0.81977,                 1.0431,             0.00035819,             0.00035819,             0.00035819
                     53,                0.63255,                0.92625,                 1.0944,                0.78498,                0.81802,                0.84182,                 0.7126,                0.59183,                0.84904,                  1.054,             0.00035583,             0.00035583,             0.00035583
                     54,                 0.6449,                0.94602,                 1.1005,                0.76954,                0.84169,                0.84927,                 0.7205,                0.58835,                0.81718,                 1.0437,             0.00035348,             0.00035348,             0.00035348
                     55,                0.64213,                 0.9426,                 1.0938,                0.76396,                0.84951,                0.84857,                0.72226,                0.58368,                0.82039,                 1.0389,             0.00035112,             0.00035112,             0.00035112
                     56,                0.64172,                0.91671,                 1.1057,                0.77548,                0.81543,                0.82894,                0.70486,                0.58463,                0.80423,                 1.0292,             0.00034877,             0.00034877,             0.00034877
                     57,                0.64799,                0.94488,                  1.108,                0.76493,                0.81877,                0.83278,                0.70774,                0.60065,                0.83723,                 1.0521,             0.00034641,             0.00034641,             0.00034641
                     58,                0.62395,                 0.9336,                 1.0989,                0.76096,                 0.8364,                0.82933,                0.70852,                0.55819,                0.83423,                 1.0189,             0.00034405,             0.00034405,             0.00034405
                     59,                0.63451,                0.91628,                 1.0846,                 0.7621,                0.80974,                0.82571,                0.71516,                0.55659,                0.79463,                 1.0213,              0.0003417,              0.0003417,              0.0003417
