                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.268,                0.84285,                 1.4643,                0.92582,                0.94901,                0.96205,                0.62157,                 1.2295,                 0.6357,                 1.4572,              0.0013947,              0.0013947,              0.0013947
                     36,                 1.2574,                0.83618,                 1.4544,                0.94386,                0.93858,                0.96693,                0.61375,                 1.2387,                0.59295,                 1.4511,              0.0013864,              0.0013864,              0.0013864
                     37,                  1.253,                0.81514,                 1.4452,                0.92501,                0.94982,                0.96519,                0.61032,                  1.233,                0.60258,                 1.4847,              0.0013782,              0.0013782,              0.0013782
                     38,                 1.2559,                0.81271,                 1.4489,                0.94417,                0.94397,                0.96951,                0.61911,                 1.2187,                0.60857,                 1.4428,              0.0013699,              0.0013699,              0.0013699
                     39,                 1.2308,                0.81667,                  1.426,                0.94877,                 0.9384,                0.97428,                0.62351,                 1.2402,                0.60218,                 1.4504,              0.0013617,              0.0013617,              0.0013617
                     40,                 1.2464,                0.81148,                 1.4452,                0.94011,                0.93664,                0.96919,                0.61685,                 1.2535,                0.60993,                 1.4697,              0.0013534,              0.0013534,              0.0013534
                     41,                 1.2504,                 0.7974,                 1.4299,                0.93927,                0.93782,                0.96609,                0.61379,                 1.2429,                0.61984,                 1.4403,              0.0013452,              0.0013452,              0.0013452
                     42,                 1.2414,                 0.8205,                 1.4342,                0.93457,                0.94129,                0.96649,                0.62496,                 1.2277,                0.59704,                  1.429,              0.0013369,              0.0013369,              0.0013369
                     43,                 1.2411,                0.81008,                 1.4372,                0.94269,                0.95669,                 0.9688,                0.61594,                 1.2415,                0.59951,                 1.4666,              0.0013287,              0.0013287,              0.0013287
                     44,                 1.2471,                0.80742,                 1.4348,                0.95952,                0.93549,                0.97517,                0.61126,                 1.2711,                0.59136,                 1.4546,              0.0013204,              0.0013204,              0.0013204
                     45,                 1.2349,                0.80103,                 1.4311,                0.94365,                0.95476,                0.97026,                0.63448,                 1.2164,                 0.5951,                  1.447,              0.0013122,              0.0013122,              0.0013122
                     46,                 1.2189,                0.78679,                 1.4136,                0.94639,                0.93444,                0.96692,                0.63091,                 1.2213,                0.60392,                 1.4263,              0.0013039,              0.0013039,              0.0013039
                     47,                 1.2226,                0.79211,                 1.4207,                0.93001,                 0.9384,                 0.9635,                 0.6155,                 1.2412,                0.61308,                 1.4831,              0.0012957,              0.0012957,              0.0012957
                     48,                  1.217,                0.79489,                 1.4197,                0.92214,                 0.9538,                0.96748,                 0.6276,                  1.221,                0.60198,                 1.4361,              0.0012874,              0.0012874,              0.0012874
                     49,                 1.2043,                0.77695,                 1.4125,                0.93713,                0.95765,                0.96659,                0.63756,                 1.2234,                0.57314,                 1.4391,              0.0012792,              0.0012792,              0.0012792
                     50,                 1.2127,                0.77238,                 1.4122,                0.95399,                  0.958,                0.97376,                0.63967,                 1.2093,                0.57461,                 1.4369,              0.0012709,              0.0012709,              0.0012709
                     51,                 1.2016,                 0.7716,                 1.4046,                0.94458,                0.95145,                0.96892,                0.63019,                 1.2216,                0.59047,                 1.4506,              0.0012627,              0.0012627,              0.0012627
                     52,                 1.2224,                 0.7961,                 1.4324,                0.94279,                0.95159,                0.96952,                0.63972,                 1.2113,                0.56936,                 1.4541,              0.0012544,              0.0012544,              0.0012544
                     53,                 1.2044,                0.77242,                  1.413,                 0.9482,                0.95861,                0.97046,                0.63336,                 1.2264,                0.59753,                 1.4435,              0.0012462,              0.0012462,              0.0012462
                     54,                 1.1937,                0.75675,                 1.4152,                  0.952,                0.94225,                0.97073,                0.62693,                  1.232,                0.56869,                 1.4811,              0.0012379,              0.0012379,              0.0012379
                     55,                 1.2024,                0.76583,                 1.4134,                 0.9437,                0.93567,                0.96769,                0.62778,                 1.2213,                 0.5839,                 1.4454,              0.0012297,              0.0012297,              0.0012297
                     56,                  1.208,                0.77583,                 1.4171,                0.93924,                0.95218,                0.96339,                0.61664,                 1.2472,                0.58769,                 1.4594,              0.0012214,              0.0012214,              0.0012214
                     57,                 1.1974,                0.75845,                 1.4054,                 0.9411,                0.95669,                0.97128,                0.63592,                 1.2258,                0.55541,                 1.4477,              0.0012132,              0.0012132,              0.0012132
                     58,                 1.1885,                0.75104,                 1.4003,                 0.9419,                0.94321,                0.96799,                0.62879,                 1.2432,                0.57669,                 1.4275,              0.0012049,              0.0012049,              0.0012049
                     59,                  1.196,                0.74984,                 1.3978,                0.95183,                0.95097,                0.97526,                0.62371,                 1.2382,                0.56955,                 1.4584,              0.0011967,              0.0011967,              0.0011967
                     60,                 1.1887,                0.75341,                 1.3992,                0.93936,                0.95188,                 0.9683,                0.62392,                 1.2398,                0.56134,                 1.4554,              0.0011884,              0.0011884,              0.0011884
                     61,                 1.1899,                0.75637,                 1.4015,                0.94699,                0.94562,                0.97044,                0.63459,                 1.2444,                0.56283,                 1.4576,              0.0011802,              0.0011802,              0.0011802
                     62,                 1.1933,                0.74786,                 1.4012,                0.95474,                0.94321,                 0.9719,                0.63964,                 1.2213,                0.55909,                 1.4468,              0.0011719,              0.0011719,              0.0011719
                     63,                 1.1913,                0.75218,                 1.4025,                0.94952,                0.95188,                0.96985,                 0.6321,                 1.2121,                0.55718,                  1.438,              0.0011636,              0.0011636,              0.0011636
                     64,                 1.1836,                 0.7282,                 1.3961,                0.94363,                 0.9461,                0.96907,                 0.6404,                 1.2147,                0.57855,                 1.4468,              0.0011554,              0.0011554,              0.0011554
                     65,                 1.1852,                0.75767,                 1.4075,                0.94913,                0.95476,                0.96892,                0.63855,                 1.2191,                0.55854,                 1.4432,              0.0011471,              0.0011471,              0.0011471
                     66,                 1.1875,                0.74278,                 1.3952,                0.94921,                0.95337,                0.97176,                0.64529,                 1.2058,                0.56158,                 1.4443,              0.0011389,              0.0011389,              0.0011389
                     67,                 1.1844,                0.73457,                  1.402,                0.94357,                0.95765,                0.96437,                0.64098,                 1.2081,                0.57153,                 1.4463,              0.0011306,              0.0011306,              0.0011306
                     68,                 1.1716,                0.75103,                 1.3918,                0.94514,                0.94507,                0.96273,                0.63485,                 1.2014,                0.55131,                 1.4455,              0.0011224,              0.0011224,              0.0011224
                     69,                 1.1801,                0.73303,                 1.3947,                0.94827,                0.95266,                0.96891,                0.62503,                 1.2419,                 0.5473,                 1.4634,              0.0011141,              0.0011141,              0.0011141
                     70,                 1.1909,                0.73109,                  1.398,                0.94933,                0.95284,                0.97152,                0.63475,                 1.2167,                0.54678,                 1.4493,              0.0011059,              0.0011059,              0.0011059
                     71,                 1.1674,                0.72128,                 1.3941,                0.94132,                0.95718,                0.96868,                0.63793,                  1.227,                0.53484,                 1.4427,              0.0010976,              0.0010976,              0.0010976
                     72,                 1.1602,                0.71525,                 1.3788,                0.93716,                0.96163,                0.96964,                 0.6335,                 1.2261,                0.54189,                 1.4606,              0.0010894,              0.0010894,              0.0010894
                     73,                 1.1685,                0.72811,                 1.3938,                0.96209,                0.95188,                0.97397,                0.64667,                 1.2084,                0.54097,                  1.427,              0.0010811,              0.0010811,              0.0010811
                     74,                 1.1728,                0.71895,                 1.3971,                0.94911,                 0.9513,                0.96758,                0.63541,                 1.2341,                0.55818,                 1.4775,              0.0010729,              0.0010729,              0.0010729
                     75,                 1.1596,                0.72165,                 1.3857,                 0.9508,                 0.9485,                0.96889,                0.63268,                 1.2186,                0.55838,                 1.4523,              0.0010646,              0.0010646,              0.0010646
                     76,                  1.145,                0.70954,                 1.3758,                0.94408,                0.95573,                0.96469,                0.62908,                 1.2279,                0.52755,                 1.4563,              0.0010564,              0.0010564,              0.0010564
                     77,                 1.1567,                0.71875,                 1.3753,                  0.945,                0.95669,                0.96915,                0.63465,                 1.2274,                0.53027,                 1.4552,              0.0010481,              0.0010481,              0.0010481
                     78,                 1.1554,                0.71519,                 1.3756,                0.94751,                0.95554,                0.97028,                0.64156,                 1.2198,                0.55292,                 1.4487,              0.0010399,              0.0010399,              0.0010399
                     79,                 1.1413,                0.71569,                 1.3681,                0.95166,                0.95284,                0.96985,                0.64311,                 1.2185,                0.53347,                 1.4376,              0.0010316,              0.0010316,              0.0010316
                     80,                 1.1461,                0.69678,                 1.3667,                0.93831,                0.96054,                0.97021,                0.63726,                 1.2255,                0.54542,                 1.4432,              0.0010234,              0.0010234,              0.0010234
                     81,                 1.1547,                0.70466,                 1.3747,                0.94515,                0.96054,                0.96955,                0.64697,                 1.2061,                0.53482,                 1.4357,              0.0010151,              0.0010151,              0.0010151
                     82,                 1.1517,                0.70177,                 1.3754,                0.94624,                0.95861,                0.97062,                0.64118,                 1.2171,                 0.5358,                 1.4523,              0.0010069,              0.0010069,              0.0010069
                     83,                 1.1509,                0.70462,                 1.3753,                 0.9521,                0.95669,                0.97234,                 0.6472,                 1.2059,                0.53579,                 1.4281,             0.00099862,             0.00099862,             0.00099862
                     84,                 1.1408,                0.70222,                 1.3701,                0.95319,                0.95573,                0.96996,                0.64026,                 1.2091,                0.52675,                 1.4409,             0.00099036,             0.00099036,             0.00099036
                     85,                 1.1385,                0.69283,                 1.3673,                0.95076,                0.95476,                0.96855,                0.63419,                 1.2294,                0.53536,                 1.4563,             0.00098211,             0.00098211,             0.00098211
                     86,                 1.1414,                0.69314,                  1.366,                0.95104,                0.95351,                0.97049,                0.63532,                 1.2498,                0.53287,                 1.4543,             0.00097386,             0.00097386,             0.00097386
                     87,                 1.1336,                0.68435,                 1.3697,                0.94527,                0.95091,                0.97103,                0.63329,                 1.2302,                0.52324,                 1.4622,             0.00096561,             0.00096561,             0.00096561
                     88,                 1.1227,                0.68933,                 1.3629,                0.94449,                 0.9615,                0.97358,                0.64213,                 1.2222,                 0.5118,                 1.4485,             0.00095736,             0.00095736,             0.00095736
                     89,                 1.1291,                0.69568,                 1.3603,                0.95564,                0.95386,                0.97207,                0.64072,                 1.2119,                0.53842,                  1.457,             0.00094911,             0.00094911,             0.00094911
                     90,                  1.123,                0.67193,                 1.3556,                0.95902,                0.95476,                0.97516,                 0.6406,                 1.2126,                 0.5148,                 1.4462,             0.00094085,             0.00094085,             0.00094085
                     91,                 1.1149,                0.69001,                 1.3558,                0.94514,                0.96439,                0.97311,                0.64153,                 1.2159,                0.52428,                 1.4502,              0.0009326,              0.0009326,              0.0009326
                     92,                  1.132,                0.67823,                 1.3654,                 0.9452,                0.96277,                0.97093,                0.62926,                 1.2177,                0.52535,                 1.4662,             0.00092435,             0.00092435,             0.00092435
                     93,                 1.1258,                 0.6915,                 1.3607,                0.95205,                0.95546,                0.96771,                 0.6284,                 1.2257,                0.52758,                 1.4732,              0.0009161,              0.0009161,              0.0009161
                     94,                 1.1229,                 0.6696,                 1.3655,                0.96012,                0.94996,                0.97165,                0.63689,                 1.2256,                0.51693,                 1.4565,             0.00090785,             0.00090785,             0.00090785
                     95,                 1.1172,                0.67436,                 1.3524,                0.95426,                0.95669,                0.97406,                0.63785,                 1.2343,                0.51854,                 1.4742,              0.0008996,              0.0008996,              0.0008996
                     96,                 1.0986,                0.66298,                  1.341,                0.94473,                 0.9541,                0.96752,                0.63263,                  1.237,                0.51812,                 1.4636,             0.00089134,             0.00089134,             0.00089134
                     97,                 1.1227,                0.67411,                  1.345,                0.95141,                0.96106,                0.97001,                0.63925,                 1.2261,                0.52501,                 1.4367,             0.00088309,             0.00088309,             0.00088309
                     98,                 1.1223,                 0.6614,                 1.3432,                0.95052,                0.95669,                0.97221,                0.63365,                 1.2355,                0.51495,                 1.4443,             0.00087484,             0.00087484,             0.00087484
                     99,                  1.102,                0.65507,                 1.3318,                0.96177,                0.95958,                0.97769,                 0.6435,                 1.2252,                0.51019,                 1.4404,             0.00086659,             0.00086659,             0.00086659
                    100,                 1.0986,                0.66472,                  1.334,                0.95212,                0.95701,                 0.9727,                0.63639,                 1.2256,                0.50642,                 1.4603,             0.00085834,             0.00085834,             0.00085834
                    101,                 1.0975,                0.65861,                 1.3328,                0.95119,                 0.9566,                0.97206,                0.64225,                 1.2301,                0.51018,                 1.4596,             0.00085009,             0.00085009,             0.00085009
                    102,                 1.0985,                0.65804,                 1.3422,                0.95263,                0.95861,                0.97534,                0.63785,                 1.2341,                0.51061,                 1.4603,             0.00084184,             0.00084184,             0.00084184
                    103,                 1.1006,                0.64956,                 1.3471,                0.95058,                0.95669,                0.97192,                0.63869,                  1.231,                0.50412,                 1.4795,             0.00083358,             0.00083358,             0.00083358
                    104,                  1.091,                0.64401,                 1.3325,                0.93204,                0.96439,                0.96463,                0.63071,                 1.2385,                0.50471,                 1.4787,             0.00082533,             0.00082533,             0.00082533
                    105,                 1.0878,                 0.6533,                 1.3418,                0.94466,                0.95669,                0.97226,                0.63634,                 1.2359,                0.50772,                 1.4827,             0.00081708,             0.00081708,             0.00081708
                    106,                 1.0863,                0.64934,                 1.3354,                0.94792,                0.96353,                 0.9684,                0.63678,                   1.23,                0.50147,                 1.4718,             0.00080883,             0.00080883,             0.00080883
                    107,                 1.1021,                0.66534,                 1.3445,                0.94662,                0.96246,                0.96951,                 0.6368,                 1.2306,                0.49654,                 1.4688,             0.00080058,             0.00080058,             0.00080058
                    108,                 1.0864,                0.64881,                 1.3331,                0.94619,                 0.9615,                0.97496,                0.64505,                 1.2244,                0.49847,                 1.4503,             0.00079233,             0.00079233,             0.00079233
                    109,                 1.0786,                0.63401,                  1.328,                0.94618,                 0.9645,                0.97058,                0.63105,                  1.233,                0.49323,                 1.4746,             0.00078407,             0.00078407,             0.00078407
                    110,                 1.0718,                0.63395,                 1.3261,                  0.946,                0.96108,                0.97536,                0.64281,                  1.238,                0.50207,                 1.4713,             0.00077582,             0.00077582,             0.00077582
                    111,                 1.0788,                0.64387,                 1.3335,                0.95335,                0.95765,                0.96951,                0.63256,                 1.2324,                0.50442,                  1.475,             0.00076757,             0.00076757,             0.00076757
